"model_id","brand_id","model_name"
"1","1","378 GT Zagato"
"2","1","Ace"
"3","1","Aceca"
"4","1","Cobra"
"5","2","CL"
"6","2","CSX"
"7","2","EL"
"8","2","ILX"
"9","2","Integra"
"10","2","Legend"
"11","2","MDX"
"12","2","NSX"
"13","2","RDX"
"14","2","RL"
"15","2","RLX"
"16","2","RSX"
"17","2","SLX"
"18","2","TL"
"19","2","TSX"
"20","2","ZDX"
"21","3","145"
"22","3","146"
"23","3","147"
"24","3","155"
"25","3","156"
"26","3","159"
"27","3","164"
"28","3","166"
"29","3","33"
"30","3","4C"
"31","3","6"
"32","3","75"
"33","3","8C Competizione"
"34","3","90"
"35","3","Alfasud"
"36","3","Alfetta"
"37","3","Arna"
"38","3","Brera"
"39","3","Giulia"
"40","3","Giulietta"
"41","3","GT"
"42","3","GTA Coupe"
"43","3","GTV"
"44","3","MiTo"
"45","3","Montreal"
"46","3","RZ"
"47","3","Spider"
"48","3","Sprint"
"49","3","SZ"
"50","4","A110"
"51","4","A310"
"52","4","A610"
"53","4","GTA"
"54","5","HMMWV (Humvee)"
"55","6","Atom"
"56","7","10"
"57","7","24"
"58","8","Retona"
"59","8","Rocsta"
"60","9","Bulldog"
"61","9","Cygnet"
"62","9","DB7"
"63","9","DB9"
"64","9","DBS"
"65","9","Lagonda"
"66","9","One-77"
"67","9","Rapide"
"68","9","Tickford Capri"
"69","9","V12 Vanquish"
"70","9","V12 Vantage"
"71","9","V12 Zagato"
"72","9","V8 Vantage"
"73","9","V8 Zagato"
"74","9","Virage"
"75","10","100"
"76","10","200"
"77","10","50"
"78","10","80"
"79","10","90"
"80","10","A1"
"81","10","A2"
"82","10","A3"
"83","10","A4 allroad"
"84","10","A4"
"85","10","A5"
"86","10","A6 allroad"
"87","10","A6"
"88","10","A7"
"89","10","A8"
"90","10","Cabriolet"
"91","10","Coupe"
"92","10","NSU RO 80"
"93","10","Q3"
"94","10","Q5"
"95","10","Q7"
"96","10","quattro"
"97","10","R8"
"98","10","RS Q3"
"99","10","RS2"
"100","10","RS3"
"101","10","RS4"
"102","10","RS5"
"103","10","RS6"
"104","10","RS7"
"105","10","S1"
"106","10","S2"
"107","10","S3"
"108","10","S4"
"109","10","S5"
"110","10","S6"
"111","10","S7"
"112","10","S8"
"113","10","SQ5"
"114","10","TT"
"115","10","V8"
"116","11","Allegro"
